Moritz Christ<>3<>62<>DL<>319<>Fr<>Siegen,
Tracy Clark<>3<>27<>CB<>181<>So<>Pittsburg, CA
Justin Clayton<>3<>90<>DL<>268<>Jr<>Napa, CA
Cody Clements<>3<>13<>QB<>196<>Fr<>Whittier, CA
Cyrus Coen<>3<>42<>LB<>215<>So<>Pearl City, HI
Adam Coerper<>3<>50<>DL<>256<>Sr<>Hood River, OR
Wes Concepcion<>3<>10<>K<>174<>So<>Kent, WA
Xavier Cooper<>3<>96<>DL<>298<>Fr<>Tacoma, WA
Joe Dahl<>3<>72<>OL<>272<>Fr<>Spokane, WA
Feddie Davey<>3<>28<>S<>190<>Fr<>Miami, FL
David Davis<>3<>99<>NT<>270<>Fr<>Rancho Palos Verdes, CA
Anthony DeMatteo<>3<>53<>LB<>214<>So<>Sammamish, WA
Alex Den Bleyker<>3<>65<>LS<>224<>Fr<>Fremont, CA
Rahmel Dockery<>3<>31<>CB<>169<>Fr<>Tacoma, WA
Denzell Dotson<>3<>67<>OL<>308<>Fr<>Peoria, AZ
Tyrone Duckett<>3<>26<>RB<>202<>So<>Alameda, CA
Aaron Dunn<>3<>88<>TE<>248<>So<>Spokane, WA
Henry Eaddy<>3<>17<>WR<>158<>So<>Orlando, FL
Gunnar Eklund<>3<>63<>OL<>286<>Fr<>Lake Stevens, WA
Keith Ewing<>3<>53<>LB<>225<>Fr<>Bellaire, TX
Michael Fields<>3<>48<>DB<>173<>So<>Seattle, WA
Sam Flor<>3<>64<>OL<>296<>Fr<>Seattle, WA
Rico Forbes<>3<>76<>OL<>287<>Jr<>Houston, TX
Ray Ford<>3<>39<>CB<>174<>Fr<>Gardena, CA
John Fullington<>3<>77<>OL<>300<>Jr<>Belfair, WA
Andrew Furney<>3<>49<>K<>218<>Jr<>Burlington, WA
Rickey Galvin<>3<>5<>RB<>178<>So<>Berkeley, CA
Max Gama<>3<>33<>S<>195<>Fr<>La Mirada, CA
Ioane Gauta<>3<>95<>NT<>305<>Jr<>Anaheim, CA
David Gilbertson<>3<>4<>QB<>204<>Jr<>Woodinville, WA
Beau Glover<>3<>35<>DB<>163<>Fr<>Gig Harbor, WA
Matt Goetz<>3<>66<>OL<>272<>Jr<>Cibolo, TX
Brandon Golden<>3<>12<>CB<>194<>So<>Covina, CA
Hamza Griffin<>3<>92<>DE<>218<>Fr<>Burton, WA
Connor Halliday<>3<>12<>QB<>189<>So<>Spokane, WA
Parker Henry<>3<>57<>DB<>208<>Fr<>Vancouver, WA
Max Hersey<>3<>41<>DL<>226<>Fr<>Tacoma, WA
Steven Hoffart<>3<>94<>DL<>274<>Sr<>Davis, CA
Damante Horton<>3<>6<>CB<>175<>Jr<>Oakland, CA
Sherman Hutcherson<>3<>61<>DL<>232<>Fr<>Snoqualmie, WA
Alex Jackson<>3<>29<>CB<>171<>Fr<>Culver City, CA
Wade Jacobson<>3<>55<>OL<>300<>Sr<>Hollister, CA
Chandler Jenkins<>3<>22<>RB<>174<>Fr<>Renton, WA
Conner Johnson<>3<>6<>QB<>222<>Fr<>Spokane, WA
David Johnson<>3<>47<>LB<><>Fr<>Lakewood, WA
Sam Jones<>3<>999<>OL<>295<>Fr<>Bear, DE
Konner Kafentzis<>3<>33<>DB<>175<>Fr<>Rancho Santa Margarita, CA
Zach Koepp<>3<>48<>LS<>211<>Sr<>Milford, IA
Manuel Lamson<>3<>36<>RB<>191<>Fr<>Gridley, CA
Kyle Lappano<>3<>33<>RB<>185<>Fr<>Sammamish, WA
