1<>down<>general<>A play, starting when the ball is put into play and ending when the ball is ruled dead<>
2<>drive<>general<>The series of plays when the offense has the football, until it punts or scores and the other team gets possession of the ball.<>
3<>field goal<>event<>A kick, worth three points<>f4nkickgoal.png
4<>fumble<>event<>The act of losing possession of the ball while running with it or being tackled.<>
5<>turnover<>event<>A loss of possession of the ball via a fumble or interception.<>
6<>incomplete pass<>general<>A pass that touches the ground before being caught or that is caught while the player is out of bounds<>
7<>interception<>event<>A pass that's caught by a defensive player, ending the offense's possession of the ball.<>
8<>kickoff<>event<>A free kick that puts the ball into play.<>
9<>punt<>general<>A kick made when a punter drops the ball and kicks it while it falls toward his foot.<>
10<>return<>general<>The act of bringing the ball back in the opposite direction after a change of possession.<>
11<>rush<>event<>To advance the ball by running, not passing<>
12<>sack<>event<>Any tackle of the quarterback behind the line of scrimmage.<>
335<>Rico Forbes<>player<><>
336<>Ray Ford<>player<><>
337<>John Fullington<>player<><>
338<>Andrew Furney<>player<><>
339<>Rickey Galvin<>player<><>
340<>Max Gama<>player<><>
341<>Ioane Gauta<>player<><>
342<>David Gilbertson<>player<><>
343<>Beau Glover<>player<><>
344<>Matt Goetz<>player<><>
345<>Brandon Golden<>player<><>
346<>Hamza Griffin<>player<><>
347<>Connor Halliday<>player<><>
348<>Parker Henry<>player<><>
349<>Max Hersey<>player<><>
350<>Steven Hoffart<>player<><>
351<>Damante Horton<>player<><>
352<>Sherman Hutcherson<>player<><>
353<>Alex Jackson<>player<><>
354<>Wade Jacobson<>player<><>
355<>Chandler Jenkins<>player<><>
356<>Conner Johnson<>player<><>
357<>David Johnson<>player<><>
358<>Sam Jones<>player<><>
359<>Konner Kafentzis<>player<><>
360<>Zach Koepp<>player<><>
361<>Manuel Lamson<>player<><>
362<>Kyle Lappano<>player<><>
363<>Corey Laufasa<>player<><>
364<>Jeremiah Laufasa<>player<><>
365<>Anthony Laurenzi<>player<><>
366<>Robert Lewis<>player<><>
367<>Andrei Lintz<>player<><>
368<>Casey Locker<>player<><>
369<>Drew Loftus<>player<><>
370<>Travis Long<>player<><>
371<>Darren Markle<>player<><>
372<>Gabe Marks<>player<><>
373<>Marcus Mason<>player<><>
374<>Logan Mayes<>player<><>
375<>Mike McAdie<>player<><>
376<>Kyle McCartney<>player<><>
377<>Brett McDonald<>player<><>
378<>Daniel McDonald<>player<><>
379<>Taylor Meighen<>player<><>
380<>Eduardo Middleton<>player<><>
381<>Alex Mitchell<>player<><>
382<>Darryl Monroe<>player<><>
383<>Isiah Myers<>player<><>
384<>Michael Newman<>player<><>
385<>Joe Njoku<>player<><>
386<>Ryan Nungester<>player<><>
387<>Eric Oertel<>player<><>
388<>Kache Palacio<>player<><>
389<>Darryl Paulo<>player<><>
390<>Mitchell Peterson<>player<><>
391<>Khalil Pettway<>player<><>
392<>Kalafitoni Pole<>player<><>
393<>Tana Pritchard<>player<><>
394<>Dylan Rabinowitz<>player<><>
395<>Bobby Ratliff<>player<><>
396<>Eddie Releford<>player<><>
397<>Jake Rodgers<>player<><>
398<>Justin Sagote<>player<><>
399<>Niu Sale<>player<><>
400<>B.J. Salmonson<>player<><>
401<>Chas Sampson<>player<><>
402<>Ryan Saparto<>player<><>
403<>Curtis Selz<>player<><>
404<>Sam Shirley<>player<><>
405<>Daniel Simmons<>player<><>
406<>Mansel Simmons<>player<><>
407<>Matthew Simmons<>player<><>
408<>Jordan Simone<>player<><>
409<>Gino Simone<>player<><>
410<>Travion Smith<>player<><>
411<>Dan Spitz<>player<><>
412<>Kruger Story<>player<><>
413<>Chester Su'a<>player<><>
414<>Taylor Taliulu<>player<><>
415<>Tyree Toomer<>player<><>
416<>Jeff Tuel<>player<><>
417<>Lawrence Tuioti<>player<><>
418<>Jacob Tuivaiave<>player<><>
419<>Mark Urtz<>player<><>
420<>Destiny Vaeao<>player<><>
421<>Pierson Villarrubia<>player<><>
422<>Jeff Waldner<>player<><>
423<>Spencer Waseem<>player<><>
424<>Nolan Washington<>player<><>
425<>Theron West<>player<><>
426<>Dominique Williams<>player<><>
427<>Kristoff Williams<>player<><>
428<>Lenard Williams<>player<><>
429<>Marquess Wilson<>player<><>
430<>Carl Winston<>player<><>
431<>Nelson Agholor<>player<><>
432<>John Akiba<>player<><>
433<>Kris Albarado<>player<><>
434<>Javorius Allen<>player<><>
435<>Joshua Alswang<>player<><>
436<>Will Andrew<>player<><>
437<>Michael Arakelian<>player<><>
438<>John Auran<>player<><>
439<>Yonatan Aviv<>player<><>
440<>Dion Bailey<>player<><>
441<>Zach Banner<>player<><>
442<>Matt Barkley<>player<><>
443<>Brian Baucham<>player<><>
444<>Ryan Bernstein<>player<><>
445<>Victor Blackwell<>player<><>
446<>Gerald Bowman<>player<><>
447<>Morgan Breslin<>player<><>
448<>Anthony Brown<>player<><>
449<>Charles Burks<>player<><>
450<>Tony Burnett<>player<><>
451<>Troy Cardona<>player<><>
452<>Julian Coleman<>player<><>
453<>Jalen Cope-Fitzpatrick<>player<><>
454<>Cole Cottrell<>player<><>
455<>Spencer Darlin<>player<><>
456<>Lamar Dawson<>player<><>
457<>Giovanni Di Poalo<>player<><>
458<>Ryan Dillard<>player<><>
459<>Rob Dooley<>player<><>
460<>Kevin Downey<>player<><>
461<>George Farmer<>player<><>
462<>De'Von Flournoy<>player<><>
463<>Devin Forte<>player<><>
464<>Luke Freeman<>player<><>
465<>Jeremy Galten<>player<><>
466<>David Garness<>player<><>
467<>Kamaron Germany<>player<><>
468<>Cody Gifford<>player<><>
469<>Kevin Graf<>player<><>
470<>Kevin Greene<>player<><>
471<>Xavier Grimble<>player<><>
472<>Nathan Guertler<>player<><>
473<>Torin Harris<>player<><>
474<>Andre Heidari<>player<><>
475<>Ryan Henderson<>player<><>
476<>Christian Heyward<>player<><>
477<>Cyrus Hobbi<>player<><>
478<>Khaled Holmes<>player<><>
479<>Wes Horton<>player<><>
480<>Alec Jaffe<>player<><>
481<>Erick Jepsen<>player<><>
482<>John Katnik<>player<><>
483<>George Katrib<>player<><>
484<>Dallas Kelley<>player<><>
485<>Devon Kennard<>player<><>
486<>J.T. Kerr<>player<><>
487<>Cody Kessler<>player<><>
488<>Zack Kusnir<>player<><>
489<>Chandler Larsen<>player<><>
490<>Marqise Lee<>player<><>
491<>Bryson Lloyd<>player<><>
492<>Tre Madden<>player<><>
493<>John Manoogian<>player<><>
494<>Abe Markowitz<>player<><>
495<>Marcus Martin<>player<><>
496<>John Martinez<>player<><>
497<>Eric Matranga<>player<><>
498<>Drew McAllister<>player<><>
499<>Peter McBride<>player<><>
500<>T.J. McDonald<>player<><>
501<>Craig McMahon<>player<><>
502<>Curtis McNeal<>player<><>
503<>Jeff Miller<>player<><>
504<>Robert Mojica<>player<><>
505<>D.J. Morgan<>player<><>
506<>Kyle Negrete<>player<><>
507<>Luis Nevarez<>player<><>
508<>Anthony Neyer<>player<><>
509<>Jahleel Pinner<>player<><>
510<>Junior Pomee<>player<><>
511<>Hayes Pullard<>player<><>
512<>Silas Redd<>player<><>
513<>Nickell Robey<>player<><>
514<>Darreus Rogers<>player<><>
515<>Taylor Ross<>player<><>
516<>Jabari Ruffin<>player<><>
517<>Emon Saee<>player<><>
518<>Anthony Sarao<>player<><>
519<>Nick Schlossberg<>player<><>
520<>Doug Scott<>player<><>
521<>Jesse Scroggins<>player<><>
522<>Kevon Seymour<>player<><>
523<>Josh Shaw<>player<><>
524<>Devian Shelton<>player<><>
525<>Hunter Simmons<>player<><>
526<>Jordan Simmons<>player<><>
527<>Marquis Simmons<>player<><>
528<>Cody Skene<>player<><>
529<>Jawanza Starling<>player<><>
530<>Scott Starr<>player<><>
531<>Elijah Steen<>player<><>
532<>Conner Sullivan<>player<><>
533<>Christian Sutton<>player<><>
534<>J.R. Tavai<>player<><>
535<>Randall Telfer<>player<><>
536<>Cody Temple<>player<><>
537<>Christian Thomas<>player<><>
538<>Christian Tober<>player<><>
539<>William Tober<>player<><>
540<>Greg Townsend<>player<><>
541<>Max Tuerk<>player<><>
542<>George Uko<>player<><>
543<>Soma Vainuku<>player<><>
544<>Simione Vehikite<>player<><>
545<>Aundrey Walker<>player<><>
546<>Chad Wheeler<>player<><>
547<>Isiah Wiley<>player<><>
548<>Leonard Williams<>player<><>
549<>DeVante Wilson<>player<><>
550<>Max Wittek<>player<><>
551<>Alex Wood<>player<><>
552<>Antwaun Woods<>player<><>
553<>Robert Woods<>player<><>
554<>Demetrius Wright<>player<><>
555<>Kyle Yatabe<>player<><>
556<>Ademola Adeniran<>player<><>
557<>R.J. Aguero<>player<><>
558<>Jamar Allah<>player<><>
559<>Javelle Allen<>player<><>
560<>Jacob Arzouman<>player<><>
561<>Stephen Ascher<>player<><>
562<>Dominique Austin<>player<><>
563<>Addison Bachman<>player<><>
564<>Jared Baker<>player<><>
565<>Jack Baucus<>player<><>
566<>Mickey Baucus<>player<><>
567<>Eric Bender-Ramsay<>player<><>
568<>Jarrell Bennett<>player<><>
569<>Trace Biskin<>player<><>
570<>John Bonano<>player<><>
571<>Tra'Mayne Bondurant<>player<><>
572<>Beau Boyster<>player<><>
573<>Blake Brady<>player<><>
574<>Dan Buckner<>player<><>
575<>Cayman Bundage<>player<><>
576<>Keoni Bush-Loo<>player<><>
577<>Kylan Butler<>player<><>
578<>Wayne Capers<>player<><>
579<>Alex Cappellini<>player<><>
580<>Ka'Deem Carey<>player<><>
581<>Brian Chacon<>player<><>
582<>Clint Cochrane<>player<><>
583<>Kyle Combs<>player<><>
